symbol,side,strategy_id,trades,pnl_sum,pnl_avg,win_rate,window,is_new_asset
AVAX/USDT:USDT,short,avax_trend,116,29.532028164381405,0.25458644969294314,0.5086206896551724,3m,False
BCH/USDT:USDT,long,bch_trend,35,23.822223894310703,0.6806349684088773,0.37142857142857144,3m,False
BCH/USDT:USDT,short,bch_trend,158,20.1125888873808,0.12729486637582785,0.5253164556962026,3m,False
BNB/USDT:USDT,long,bnb_trend,117,24.14848680823522,0.20639732314730957,0.42735042735042733,3m,False
BNB/USDT:USDT,short,bnb_trend,129,42.90137102605973,0.3325687676438739,0.5581395348837209,3m,False
BTC/USDT:USDT,long,btc_trend_loose,129,49.842992165487566,0.38637978422858577,0.5193798449612403,3m,False
BTC/USDT:USDT,short,btc_trend_loose,75,59.4369971958548,0.7924932959447307,0.6533333333333333,3m,False
DOGE/USDT:USDT,long,doge_trend_loose,91,45.13895884443702,0.4960325147740332,0.5164835164835165,3m,False
DOGE/USDT:USDT,short,doge_trend_loose,107,12.212832065777965,0.11413861743717724,0.48598130841121495,3m,False
DOT/USDT:USDT,long,dot_trend,7,0.8932818096310354,0.12761168709014792,0.8571428571428571,3m,False
ENA/USDT:USDT,long,ena_trend_discovery,78,29.169121586159328,0.37396309725845295,0.6282051282051282,3m,True
ENA/USDT:USDT,short,ena_trend_discovery,90,22.142129996831674,0.24602366663146305,0.5222222222222223,3m,True
ETH/USDT:USDT,long,eth_trend,5,1.845601698664836,0.3691203397329672,0.8,3m,False
ETH/USDT:USDT,short,eth_trend,167,79.61755319406393,0.47675181553331697,0.5748502994011976,3m,False
INJ/USDT:USDT,long,inj_trend_discovery,177,102.19442516237163,0.5773696336857155,0.5875706214689266,3m,True
INJ/USDT:USDT,short,inj_trend_discovery,48,53.30940994430465,1.1106127071730134,0.625,3m,True
LINK/USDT:USDT,long,link_trend,8,22.827705649987834,2.8534632062484793,0.75,3m,False
LINK/USDT:USDT,short,link_trend,83,60.40150407268829,0.7277289647311842,0.5542168674698795,3m,False
NEAR/USDT:USDT,long,near_trend_discovery,123,208.64542235779723,1.6963042468113596,0.6178861788617886,3m,True
NEAR/USDT:USDT,short,near_trend_discovery,66,19.854326012457122,0.3008231214008655,0.5151515151515151,3m,True
ONDO/USDT:USDT,long,ondo_trend_discovery,139,13.497599347600568,0.09710503127770193,0.5539568345323741,3m,True
ONDO/USDT:USDT,short,ondo_trend_discovery,61,20.912205899186464,0.342823047527647,0.5901639344262295,3m,True
RENDER/USDT:USDT,long,render_trend_discovery,95,51.73331001215442,0.5445611580226781,0.6105263157894737,3m,True
RENDER/USDT:USDT,short,render_trend_discovery,79,35.02753034343962,0.44338646004353954,0.5189873417721519,3m,True
SOL/USDT:USDT,long,sol_trend_discovery,82,25.36860081404108,0.30937318065903757,0.4878048780487805,3m,True
SOL/USDT:USDT,short,sol_trend_discovery,103,14.56398799567498,0.14139794170558234,0.5728155339805825,3m,True
SUI/USDT:USDT,long,sui_trend_discovery,82,14.594322740649874,0.1779795456176814,0.573170731707317,3m,True
SUI/USDT:USDT,short,sui_trend_discovery,107,56.54322151156346,0.5284413225379763,0.5700934579439252,3m,True
TON/USDT:USDT,long,ton_trend_discovery,102,18.26187890871125,0.17903802851677697,0.5392156862745098,3m,True
TON/USDT:USDT,short,ton_trend_discovery,91,52.38484708327682,0.5756576602557892,0.6153846153846154,3m,True
TRX/USDT:USDT,long,trx_trend,8,1.9743721274765742,0.24679651593457178,0.5,3m,False
XLM/USDT:USDT,long,xlm_trend_discovery,91,41.39498995608981,0.45488999951747044,0.6263736263736264,3m,True
XLM/USDT:USDT,short,xlm_trend_discovery,96,58.39397443828607,0.6082705670654799,0.53125,3m,True
XRP/USDT:USDT,long,xrp_trend,7,36.289867256918406,5.1842667509883436,0.8571428571428571,3m,False
XRP/USDT:USDT,short,xrp_trend,100,191.5102310442594,1.915102310442594,0.6,3m,False
AAVE/USDT:USDT,long,aave_trend,19,246.36757790162082,12.966714626401096,0.8947368421052632,6m,False
AAVE/USDT:USDT,short,aave_trend,232,530.6217036401025,2.287162515690097,0.5732758620689655,6m,False
ADA/USDT:USDT,long,ada_trend_discovery,115,74.66582093140073,0.6492680080991368,0.5391304347826087,6m,True
ADA/USDT:USDT,short,ada_trend_discovery,199,28.67142580378715,0.14407751660194548,0.5376884422110553,6m,True
AVAX/USDT:USDT,long,avax_trend,173,233.4343213826255,1.3493313374718239,0.4797687861271676,6m,False
AVAX/USDT:USDT,short,avax_trend,231,228.19817259720034,0.9878708770441573,0.5497835497835498,6m,False
BCH/USDT:USDT,long,bch_trend,114,171.019102774119,1.5001675681940263,0.45614035087719296,6m,False
BCH/USDT:USDT,short,bch_trend,262,124.62427365012367,0.4756651666035255,0.5305343511450382,6m,False
BNB/USDT:USDT,long,bnb_trend,223,101.89173799484564,0.4569136232952719,0.4663677130044843,6m,False
BNB/USDT:USDT,short,bnb_trend,248,186.3496808362808,0.7514100033721001,0.5766129032258065,6m,False
BTC/USDT:USDT,long,btc_trend_loose,216,312.0747615271253,1.4447905626255801,0.5,6m,False
BTC/USDT:USDT,short,btc_trend_loose,159,268.2340786944682,1.6870067842419385,0.6037735849056604,6m,False
DOGE/USDT:USDT,long,doge_trend_loose,148,173.34505495272478,1.1712503713021944,0.5202702702702703,6m,False
DOGE/USDT:USDT,short,doge_trend_loose,242,92.70047922948677,0.38305983152680484,0.5247933884297521,6m,False
DOT/USDT:USDT,long,dot_trend,14,127.73849735917643,9.124178382798316,0.7857142857142857,6m,False
ENA/USDT:USDT,long,ena_trend_discovery,136,109.84063411832452,0.8076517214582685,0.6176470588235294,6m,True
ENA/USDT:USDT,short,ena_trend_discovery,236,110.01786457487228,0.466177392266408,0.5338983050847458,6m,True
ETH/USDT:USDT,long,eth_trend,5,5.912620803241864,1.1825241606483727,0.8,6m,False
ETH/USDT:USDT,short,eth_trend,295,351.414052503596,1.1912340762833762,0.6033898305084746,6m,False
INJ/USDT:USDT,long,inj_trend_discovery,235,321.80995523067054,1.369404064811364,0.5914893617021276,6m,True
INJ/USDT:USDT,short,inj_trend_discovery,150,208.855501647519,1.39237001098346,0.56,6m,True
LINK/USDT:USDT,long,link_trend,12,74.91003323478635,6.2425027695655295,0.75,6m,False
LINK/USDT:USDT,short,link_trend,162,272.04813438414624,1.6793094715070755,0.5246913580246914,6m,False
NEAR/USDT:USDT,long,near_trend_discovery,217,866.6663642141767,3.9938542129685564,0.5852534562211982,6m,True
NEAR/USDT:USDT,short,near_trend_discovery,152,67.54393557932053,0.4443679972323719,0.5328947368421053,6m,True
