symbol,side,strategy_id,is_new_asset,pnl_avg_1m,pnl_avg_3m,pnl_avg_6m,pnl_sum_1m,pnl_sum_3m,pnl_sum_6m,trades_1m,trades_3m,trades_6m,win_rate_1m,win_rate_3m,win_rate_6m,positive_1m,positive_3m,positive_6m,positive_windows,total_pnl_1m_3m_6m,total_trades_1m_3m_6m
XLM/USDT:USDT,short,xlm_trend_discovery,True,0.4599574785379096,0.6082705670654799,1.110006782736831,17.938341662978473,58.39397443828607,202.02123445810324,39,96,182,0.5128205128205128,0.53125,0.5769230769230769,True,True,True,3,278.3535505593678,317
INJ/USDT:USDT,short,inj_trend_discovery,True,0.6149987456992142,1.1106127071730134,1.39237001098346,12.914973659683499,53.30940994430465,208.855501647519,21,48,150,0.6190476190476191,0.625,0.56,True,True,True,3,275.0798852515071,219
AVAX/USDT:USDT,short,avax_trend,False,0.24929353473650903,0.25458644969294314,0.9878708770441573,13.212557341034978,29.532028164381405,228.19817259720034,53,116,231,0.5849056603773585,0.5086206896551724,0.5497835497835498,True,True,True,3,270.9427581026167,400
XLM/USDT:USDT,long,xlm_trend_discovery,True,0.5533762374093413,0.45488999951747044,1.1997109781570268,16.0479108848709,41.39498995608981,191.9537565051243,29,91,160,0.6206896551724138,0.6263736263736264,0.60625,True,True,True,3,249.396657346085,280
BNB/USDT:USDT,short,bnb_trend,False,0.3226109722120773,0.3325687676438739,0.7514100033721001,17.74360347166425,42.90137102605973,186.3496808362808,55,129,248,0.6181818181818182,0.5581395348837209,0.5766129032258065,True,True,True,3,246.9946553340048,432
TON/USDT:USDT,short,ton_trend_discovery,True,0.7232271918188492,0.5756576602557892,0.8720234448618726,31.821996440029363,52.38484708327682,160.45231385458456,44,91,184,0.5909090909090909,0.6153846153846154,0.5380434782608695,True,True,True,3,244.65915737789072,319
DOGE/USDT:USDT,long,doge_trend_loose,False,0.04895720858127058,0.4960325147740332,1.1712503713021944,0.3427004600688941,45.13895884443702,173.34505495272478,7,91,148,0.5714285714285714,0.5164835164835165,0.5202702702702703,True,True,True,3,218.8267142572307,246
XRP/USDT:USDT,long,xrp_trend,False,2.994478007574432,5.1842667509883436,17.118042851247456,8.983434022723296,36.289867256918406,171.18042851247455,3,7,10,0.6666666666666666,0.8571428571428571,0.9,True,True,True,3,216.45372979211623,20
BCH/USDT:USDT,short,bch_trend,False,0.1144425946841778,0.12729486637582785,0.4756651666035255,9.498735358786758,20.1125888873808,124.62427365012367,83,158,262,0.5903614457831325,0.5253164556962026,0.5305343511450382,True,True,True,3,154.2355978962912,503
RENDER/USDT:USDT,short,render_trend_discovery,True,0.16488944267032143,0.44338646004353954,0.7112860127063974,4.781793837439322,35.02753034343962,109.5380459567852,29,79,154,0.5517241379310345,0.5189873417721519,0.525974025974026,True,True,True,3,149.34737013766414,262
ENA/USDT:USDT,short,ena_trend_discovery,True,0.27351836877664504,0.24602366663146305,0.466177392266408,13.949436807608897,22.142129996831674,110.01786457487228,51,90,236,0.5098039215686274,0.5222222222222223,0.5338983050847458,True,True,True,3,146.10943137931287,377
BNB/USDT:USDT,long,bnb_trend,False,0.5524296748902844,0.20639732314730957,0.4569136232952719,16.572890246708532,24.14848680823522,101.89173799484564,30,117,223,0.5666666666666667,0.42735042735042733,0.4663677130044843,True,True,True,3,142.6131150497894,370
ENA/USDT:USDT,long,ena_trend_discovery,True,0.11450615633835812,0.37396309725845295,0.8076517214582685,0.9160492507068649,29.169121586159328,109.84063411832452,8,78,136,0.625,0.6282051282051282,0.6176470588235294,True,True,True,3,139.9258049551907,222
SOL/USDT:USDT,long,sol_trend_discovery,True,0.024679263022740837,0.30937318065903757,0.6407207573374593,0.12339631511370419,25.36860081404108,110.84469101938045,5,82,173,0.6,0.4878048780487805,0.5144508670520231,True,True,True,3,136.33668814853525,260
ONDO/USDT:USDT,short,ondo_trend_discovery,True,0.34225760982141895,0.342823047527647,0.5217433367978042,10.267728294642568,20.912205899186464,101.21820733877401,30,61,194,0.6,0.5901639344262295,0.5721649484536082,True,True,True,3,132.39814153260303,285
DOT/USDT:USDT,long,dot_trend,False,0.3937898558374128,0.12761168709014792,9.124178382798316,0.7875797116748257,0.8932818096310354,127.73849735917643,2,7,14,1.0,0.8571428571428571,0.7857142857142857,True,True,True,3,129.4193588804823,23
DOGE/USDT:USDT,short,doge_trend_loose,False,0.08335752230193971,0.11413861743717724,0.38305983152680484,5.168166382720262,12.212832065777965,92.70047922948677,62,107,242,0.5806451612903226,0.48598130841121495,0.5247933884297521,True,True,True,3,110.08147767798499,411
LINK/USDT:USDT,long,link_trend,False,0.3174165577780369,2.8534632062484793,6.2425027695655295,0.6348331155560738,22.827705649987834,74.91003323478635,2,8,12,1.0,0.75,0.75,True,True,True,3,98.37257200033027,22
SOL/USDT:USDT,short,sol_trend_discovery,True,0.1455220344331657,0.14139794170558234,0.35996183364941575,8.294755962690445,14.56398799567498,72.35232856353257,57,103,201,0.631578947368421,0.5728155339805825,0.5572139303482587,True,True,True,3,95.21107252189799,361
ADA/USDT:USDT,long,ada_trend_discovery,True,0.016936617425372502,0.2928341301035471,0.6492680080991368,0.06774646970149001,19.327052586834107,74.66582093140073,4,66,115,0.75,0.5151515151515151,0.5391304347826087,True,True,True,3,94.06061998793632,185
NEAR/USDT:USDT,short,near_trend_discovery,True,0.25594840158700144,0.3008231214008655,0.4443679972323719,6.142761638088035,19.854326012457122,67.54393557932053,24,66,152,0.4583333333333333,0.5151515151515151,0.5328947368421053,True,True,True,3,93.54102322986569,242
TON/USDT:USDT,long,ton_trend_discovery,True,0.13225470241711137,0.17903802851677697,0.3097417603207183,3.3063675604277845,18.26187890871125,59.780159741898636,25,102,193,0.4,0.5392156862745098,0.5544041450777202,True,True,True,3,81.34840621103767,320
ONDO/USDT:USDT,long,ondo_trend_discovery,True,0.2466791008800351,0.09710503127770193,0.30386093309780615,10.60720133784151,13.497599347600568,57.12585542238756,43,139,188,0.5116279069767442,0.5539568345323741,0.5585106382978723,True,True,True,3,81.23065610782965,370
