trace_candidate_id,ts,symbol,symbol_code,side,strategy_id,adx,range_pct,breakout_distance_up,breakout_distance_down,dist_close_ema_fast,dist_close_ema_slow,pullback_depth,ret_1h_lag,ret_4h_lag,ret_12h_lag,ret_24h_lag,ema_gap_fast_slow,atrp,atrp_zscore,rolling_vol_24h,rolling_vol_72h,btc_adx,btc_atrp,btc_ret_24h_lag,btc_rolling_vol_24h,pnl,target_win,exit_reason,entry_ts,exit_ts,bars_held
1780743600000|ONDO/USDT:USDT|ondo_trend_discovery|short,2026-06-06 11:00:00+00:00,ONDO/USDT:USDT,ONDO,short,ondo_trend_discovery,77.08249635714178,0.0151468315301391,0.0,0.0,-0.0159172351856909,-0.0229659353259228,0.0,0.0037232392181199,-0.0208837772397094,0.0,0.0,-0.0071627106908654,0.0241633683022334,0.0,0.0,0.0,76.05596686928699,0.0101513956068028,0.0,0.0,-0.5909611811768286,0,sl,1780743600000,1780754400000,3
1780743600000|RENDER/USDT:USDT|render_trend_discovery|short,2026-06-06 11:00:00+00:00,RENDER/USDT:USDT,RENDER,short,render_trend_discovery,81.19599244041177,0.0159803318992008,0.0,0.0,-0.0007754486916,-0.0057480302866172,0.0,0.0074303405572755,-0.0067155067155066,0.0,0.0,-0.0049764405693455,0.0200343083387875,0.0,0.0,0.0,76.05596686928699,0.0101513956068028,0.0,0.0,-0.074342160673785,0,sl,1780743600000,1780747200000,2
1780747200000|AAVE/USDT:USDT|aave_trend|long,2026-06-06 12:00:00+00:00,AAVE/USDT:USDT,AAVE,long,aave_trend,62.26201444983915,0.021889586351199,0.0,0.0,0.0208377962884009,0.025864972826737,0.0,0.0135399673735727,0.0022584287788351,0.0,0.0,0.0049245595692225,0.0219760946158583,0.0,0.0,0.0,72.77434727909755,0.0100623639211812,0.0,0.0,-1.200988123997096,0,sl,1780747200000,1780750800000,2
1780747200000|ADA/USDT:USDT|ada_trend_discovery|long,2026-06-06 12:00:00+00:00,ADA/USDT:USDT,ADA,long,ada_trend_discovery,67.07493529796731,0.0290771175726927,0.0,0.0,0.015983788846136,0.0179411372132596,0.0,0.0128040973111396,-0.0075282308657463,0.0,0.0,0.001926554723227,0.0235367373069403,0.0,0.0,0.0,72.77434727909755,0.0100623639211812,0.0,0.0,0.1362481676273359,1,tp,1780747200000,1780768800000,7
1780747200000|SUI/USDT:USDT|sui_trend_discovery|long,2026-06-06 12:00:00+00:00,SUI/USDT:USDT,SUI,long,sui_trend_discovery,66.96711036949037,0.0394150417827297,0.0,0.0,0.0270400700390389,0.0303313537346794,0.0,0.0230834995725277,0.0106981981981981,0.0,0.0,0.003204630268725,0.0213711140100611,0.0,0.0,0.0,72.77434727909755,0.0100623639211812,0.0,0.0,0.9000052852368827,1,tp,1780747200000,1780750800000,1
1780750800000|ETH/USDT:USDT|eth_trend|short,2026-06-06 13:00:00+00:00,ETH/USDT:USDT,ETH,short,eth_trend,76.68623538274282,0.0124380826335841,0.0233149803085106,0.0339927144701929,-0.0060729295960541,-0.0108848458612118,0.0053388670808412,-0.0089521638640748,-0.0085734122308069,0.0,0.0,-0.0048413172439323,0.0160439000044235,0.0,0.0,0.0,69.72712908820736,0.009853798811545,0.0,0.0,1.077256533419746,1,tp,1780750800000,1780754400000,2
1780754400000|AVAX/USDT:USDT|avax_trend|long,2026-06-06 14:00:00+00:00,AVAX/USDT:USDT,AVAX,long,avax_trend,59.435502708483696,0.0118500962820323,0.0119982224855576,0.0789512664790401,0.01289110246618,0.0152040057598668,0.0334765219967412,-0.0013313609467454,0.0207136377381313,0.0150353330326267,0.0,0.0022834668880547,0.0192115780681914,0.0,0.0202701121226073,0.0,66.89756933952361,0.0094555694516259,0.0,0.0064316433449537,-7.433616477414842,0,sl,1780754400000,1780758000000,1
1780754400000|SOL/USDT:USDT|sol_trend_discovery|short,2026-06-06 14:00:00+00:00,SOL/USDT:USDT,SOL,short,sol_trend_discovery,75.89066462376145,0.0101139829828223,0.0260073848129715,0.0362819072082195,-0.0070434863077606,-0.0166969393205467,0.005137261197624,-0.0017628205128205,0.0082550987374554,-0.018591460532535,0.0,-0.0097219292886154,0.0163001299309291,0.0,0.0153128572163662,0.0,66.89756933952361,0.0094555694516259,0.0,0.0064316433449537,-0.4889190141511705,0,sl,1780754400000,1780794000000,11
1780754400000|SUI/USDT:USDT|sui_trend_discovery|long,2026-06-06 14:00:00+00:00,SUI/USDT:USDT,SUI,long,sui_trend_discovery,59.99819017879288,0.0156639866925422,0.0094261158857775,0.0834488494593845,0.0263682232483571,0.034535862794314,0.0370113667868035,0.004455583402952,0.0391817919907806,0.035452849145974,0.0,0.0079578063320267,0.020755515891781,0.0,0.0174401229352734,0.0,66.89756933952361,0.0094555694516259,0.0,0.0064316433449537,-0.4553618643520338,0,time_stop,1780754400000,1780776000000,8
1780754400000|ENA/USDT:USDT|ena_trend_discovery|short,2026-06-06 14:00:00+00:00,ENA/USDT:USDT,ENA,short,ena_trend_discovery,59.355228506281016,0.0334382803170122,0.0699164042992074,0.0632938877429161,-0.0030908379199537,-0.0110530534619774,-0.0033112582781456,-0.0119073160266037,0.0115308587744344,-0.012754555198285,0.0,-0.007986901760849,0.0378737564084371,0.0,0.0222842847000123,0.0,66.89756933952361,0.0094555694516259,0.0,0.0064316433449537,0.7063229087196942,1,time_stop,1780754400000,1780783200000,12
