symbol,base,binance_quote_volume,bitget_quote_volume,min_quote_volume,sum_quote_volume,flags,candidate_clean,has_both_quote_volume
IREN/USDT:USDT,IREN,1905311.9682,2668497.00652,1905311.9682,4573808.974719999,,True,True
ARB/USDT:USDT,ARB,25918396.85296,1888132.541119,1888132.541119,27806529.394079,,True,True
GWEI/USDT:USDT,GWEI,12760874.198566,1828535.39885,1828535.39885,14589409.597416,,True,True
VVV/USDT:USDT,VVV,40714144.79361,1823423.30846,1823423.30846,42537568.10207,,True,True
SOPH/USDT:USDT,SOPH,18676122.230774,1787214.07799,1787214.07799,20463336.308764,,True,True
RIVER/USDT:USDT,RIVER,16303559.0313,1735175.057,1735175.057,18038734.0883,,True,True
DEXE/USDT:USDT,DEXE,22489456.15758,1728045.9736,1728045.9736,24217502.13118,,True,True
GENIUS/USDT:USDT,GENIUS,13609303.3541,1707673.55359,1707673.55359,15316976.90769,,True,True
STRK/USDT:USDT,STRK,7645394.662074,1657850.2422849,1657850.2422849,9303244.9043589,,True,True
OPN/USDT:USDT,OPN,22407942.5884,1621363.7058,1621363.7058,24029306.2942,,True,True
WIF/USDT:USDT,WIF,16281232.44721,1540291.84086,1540291.84086,17821524.28807,,True,True
CFG/USDT:USDT,CFG,5489077.7241,1522831.33868,1522831.33868,7011909.06278,,True,True
NIL/USDT:USDT,NIL,6991202.108275,1507945.8938,1507945.8938,8499148.002075,,True,True
ZRO/USDT:USDT,ZRO,15280030.46705,1470274.5539,1470274.5539,16750305.020949999,,True,True
PENDLE/USDT:USDT,PENDLE,12755848.0106,1464958.5139,1464958.5139,14220806.524500001,,True,True
HPE/USDT:USDT,HPE,2291814.5912,1399571.0055,1399571.0055,3691385.5967,,True,True
PLTR/USDT:USDT,PLTR,4804627.6431,1381428.3261,1381428.3261,6186055.9692,,True,True
ROBO/USDT:USDT,ROBO,10609945.27345,1379962.33703,1379962.33703,11989907.61048,,True,True
ALGO/USDT:USDT,ALGO,16551073.9219,1330965.14413,1330965.14413,17882039.06603,,True,True
SQD/USDT:USDT,SQD,5877926.07475,1328510.6312,1328510.6312,7206436.705949999,,True,True
NOW/USDT:USDT,NOW,1324764.4031,2358320.1044,1324764.4031,3683084.5075000003,,True,True
GRASS/USDT:USDT,GRASS,7957544.18616,1312529.05139,1312529.05139,9270073.23755,,True,True
DASH/USDT:USDT,DASH,18718947.33,1306019.714,1306019.714,20024967.044,,True,True
PIEVERSE/USDT:USDT,PIEVERSE,13072927.5247,1284780.18554,1284780.18554,14357707.71024,,True,True
ZBT/USDT:USDT,ZBT,21985313.63901,1273810.44411,1273810.44411,23259124.08312,,True,True
AIXBT/USDT:USDT,AIXBT,7772784.91919,1250033.71562,1250033.71562,9022818.63481,,True,True
BASED/USDT:USDT,BASED,13348418.90585,1240565.38098,1240565.38098,14588984.28683,,True,True
GLW/USDT:USDT,GLW,1284106.5267,1231092.5451,1231092.5451,2515199.0718,,True,True
KMNO/USDT:USDT,KMNO,19446241.52038,1227782.4999,1227782.4999,20674024.02028,,True,True
FIGHT/USDT:USDT,FIGHT,6168287.859411,1225623.69972,1225623.69972,7393911.559131,,True,True
ETC/USDT:USDT,ETC,13077449.56,1225170.396,1225170.396,14302619.956,,True,True
NOT/USDT:USDT,NOT,10459417.2443817,1210694.30958,1210694.30958,11670111.5539617,,True,True
ETHFI/USDT:USDT,ETHFI,11052569.42645,1195117.86358,1195117.86358,12247687.290029999,,True,True
ONDS/USDT:USDT,ONDS,1158595.5421,10315932.56154,1158595.5421,11474528.10364,,True,True
DOGS/USDT:USDT,DOGS,5779358.97000459,1158001.152342,1158001.152342,6937360.12234659,,True,True
UAI/USDT:USDT,UAI,9209929.9814,1143393.51084,1143393.51084,10353323.49224,,True,True
KAITO/USDT:USDT,KAITO,3756069.03977,1080056.47123,1080056.47123,4836125.511,,True,True
BRETT/USDT:USDT,BRETT,2534601.322617,1075976.2395,1075976.2395,3610577.562117,,True,True
BABY/USDT:USDT,BABY,13382084.14663,1074809.11413,1074809.11413,14456893.26076,,True,True
LUMIA/USDT:USDT,LUMIA,11604824.252391,1065514.83342,1065514.83342,12670339.085811,,True,True
KAS/USDT:USDT,KAS,3424461.91776,1038174.55913,1038174.55913,4462636.47689,,True,True
ANTHROPIC/USDT:USDT,ANTHROPIC,4121746.1515,1018786.5597,1018786.5597,5140532.7112,,True,True
OPEN/USDT:USDT,OPEN,9881256.8949,1006238.6348,1006238.6348,10887495.5297,,True,True
SENT/USDT:USDT,SENT,7696815.08902,1005610.80758,1005610.80758,8702425.8966,,True,True
MOODENG/USDT:USDT,MOODENG,6531089.90122,997236.82674,997236.82674,7528326.727960001,,True,True
NXPC/USDT:USDT,NXPC,2369793.9656,995262.4005,995262.4005,3365056.3661,,True,True
IO/USDT:USDT,IO,8059437.27142,994744.1746,994744.1746,9054181.44602,,True,True
MORPHO/USDT:USDT,MORPHO,10284427.54004,986584.394,986584.394,11271011.934039999,,True,True
2Z/USDT:USDT,2Z,4259691.52063,937299.35471,937299.35471,5196990.87534,,True,True
USELESS/USDT:USDT,USELESS,7190035.49188,904283.32925,904283.32925,8094318.82113,,True,True
IBM/USDT:USDT,IBM,890703.2656,947169.9126,890703.2656,1837873.1782,,True,True
LDO/USDT:USDT,LDO,8324448.5633,886855.55581,886855.55581,9211304.11911,,True,True
ME/USDT:USDT,ME,4809947.369378,882064.21399,882064.21399,5692011.583368,,True,True
LIT/USDT:USDT,LIT,34086262.40499,880099.051,880099.051,34966361.45599,,True,True
CATI/USDT:USDT,CATI,4640146.12629,873337.77729,873337.77729,5513483.90358,,True,True
SOMI/USDT:USDT,SOMI,5322880.8376,860670.5823,860670.5823,6183551.4199,,True,True
MEGA/USDT:USDT,MEGA,9249505.90961,846466.30245,846466.30245,10095972.212059999,,True,True
US/USDT:USDT,US,3862102.273456,815678.611232,815678.611232,4677780.884688,,True,True
BX/USDT:USDT,BX,2161416.2664,814106.2208,814106.2208,2975522.4872000003,,True,True
MMT/USDT:USDT,MMT,5097543.4057,812949.1876,812949.1876,5910492.5933,,True,True
RUNE/USDT:USDT,RUNE,6936720.5973,812912.44718,812912.44718,7749633.04448,,True,True
FF/USDT:USDT,FF,4973684.62924,789910.35024,789910.35024,5763594.97948,,True,True
SAND/USDT:USDT,SAND,4419811.688,785347.85412,785347.85412,5205159.54212,,True,True
FORM/USDT:USDT,FORM,3160369.54444,780004.3235,780004.3235,3940373.86794,,True,True
PEOPLE/USDT:USDT,PEOPLE,3534604.177393,778236.628842,778236.628842,4312840.8062350005,,True,True
BANK/USDT:USDT,BANK,8965672.22128,773754.09804,773754.09804,9739426.319319999,,True,True
ZAMA/USDT:USDT,ZAMA,6903074.19166,772346.09473,772346.09473,7675420.28639,,True,True
BLESS/USDT:USDT,BLESS,4183010.344219,769016.837589,769016.837589,4952027.181808,,True,True
ICX/USDT:USDT,ICX,6294172.72347,747774.40026,747774.40026,7041947.12373,,True,True
AZTEC/USDT:USDT,AZTEC,2515776.35255,747651.74904,747651.74904,3263428.10159,,True,True
ARKM/USDT:USDT,ARKM,6669617.3156,746708.433,746708.433,7416325.7486000005,,True,True
BARD/USDT:USDT,BARD,6446275.4364,731153.5756,731153.5756,7177429.012,,True,True
BIRB/USDT:USDT,BIRB,2313924.48131,727088.52291,727088.52291,3041013.0042200005,,True,True
SLX/USDT:USDT,SLX,10328322.17787,717804.6691,717804.6691,11046126.84697,,True,True
GALA/USDT:USDT,GALA,7230080.749702,710789.650018,710789.650018,7940870.39972,,True,True
AR/USDT:USDT,AR,5268735.428,697215.8309,697215.8309,5965951.2589,,True,True
OPG/USDT:USDT,OPG,9102242.9003,690363.0772,690363.0772,9792605.9775,,True,True
IN/USDT:USDT,IN,4225581.87841,689142.32228,689142.32228,4914724.20069,,True,True
PARTI/USDT:USDT,PARTI,6082147.16507,681616.027759,681616.027759,6763763.192829,,True,True
SPX/USDT:USDT,SPX,4694626.9127,677097.0455,677097.0455,5371723.9582,,True,True
ZK/USDT:USDT,ZK,5471882.53634,674824.69815,674824.69815,6146707.23449,,True,True
XPD/USDT:USDT,XPD,4604151.9165,671987.25665,671987.25665,5276139.17315,,True,True
PHA/USDT:USDT,PHA,2902789.10411,667096.45296,667096.45296,3569885.55707,,True,True
SPK/USDT:USDT,SPK,4687682.82534,663360.17643,663360.17643,5351043.00177,,True,True
龙虾/USDT:USDT,龙虾,5597156.041042,662657.786262,662657.786262,6259813.827304,,True,True
TRADOOR/USDT:USDT,TRADOOR,1879405.2458,657590.6972,657590.6972,2536995.943,,True,True
MOVE/USDT:USDT,MOVE,7110812.97951,650387.17564,650387.17564,7761200.15515,,True,True
RESOLV/USDT:USDT,RESOLV,2391003.99209,645418.59089,645418.59089,3036422.58298,,True,True
GUN/USDT:USDT,GUN,2522072.830212,632049.722356,632049.722356,3154122.552568,,True,True
CYS/USDT:USDT,CYS,1858742.8409,627389.868,627389.868,2486132.7089,,True,True
SYN/USDT:USDT,SYN,3233408.36557,626194.32359,626194.32359,3859602.68916,,True,True
HYUNDAI/USDT:USDT,HYUNDAI,898516.7526,613923.7223,613923.7223,1512440.4749,,True,True
