ts,n_opps,n_features,n_scores,n_accepts,gross_weight,active_symbols,port_ret_simple,equity_simple,port_ret,equity
2026-02-09 03:00:00+00:00,10,10,10,2,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-09 04:00:00+00:00,10,10,10,2,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-09 05:00:00+00:00,10,10,10,2,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-09 06:00:00+00:00,10,10,10,2,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-09 07:00:00+00:00,10,10,10,2,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-09 08:00:00+00:00,10,10,10,2,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-09 09:00:00+00:00,10,10,10,2,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-09 10:00:00+00:00,10,10,10,2,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-09 11:00:00+00:00,10,10,10,2,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-09 12:00:00+00:00,10,10,10,2,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-09 13:00:00+00:00,10,10,10,2,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-09 14:00:00+00:00,10,10,10,2,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-09 15:00:00+00:00,10,10,10,2,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-09 16:00:00+00:00,10,10,10,2,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-09 17:00:00+00:00,10,10,10,2,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-09 18:00:00+00:00,10,10,10,2,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-09 19:00:00+00:00,10,10,10,2,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-09 20:00:00+00:00,10,10,10,2,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-09 21:00:00+00:00,10,10,10,2,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-09 22:00:00+00:00,10,10,10,1,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-09 23:00:00+00:00,10,10,10,1,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-10 00:00:00+00:00,10,10,10,1,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-10 01:00:00+00:00,10,10,10,1,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-10 02:00:00+00:00,10,10,10,1,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-10 03:00:00+00:00,10,10,10,1,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-10 04:00:00+00:00,10,10,10,1,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-10 05:00:00+00:00,10,10,10,1,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-10 06:00:00+00:00,10,10,10,2,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-10 07:00:00+00:00,10,10,10,2,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-10 08:00:00+00:00,10,10,10,3,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-10 09:00:00+00:00,10,10,10,4,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-10 10:00:00+00:00,10,10,10,5,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-10 11:00:00+00:00,10,10,10,5,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-10 12:00:00+00:00,10,10,10,5,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-10 13:00:00+00:00,10,10,10,8,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-10 14:00:00+00:00,10,10,10,7,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-10 15:00:00+00:00,10,10,10,7,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-10 16:00:00+00:00,10,10,10,7,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
