symbol,base,in_current_registry,binance_type,bitget_type,binance_active,bitget_active
FOGO/USDT:USDT,FOGO,False,swap,swap,True,True
FOLKS/USDT:USDT,FOLKS,False,swap,swap,True,True
FORM/USDT:USDT,FORM,False,swap,swap,True,True
FRAX/USDT:USDT,FRAX,False,swap,swap,True,True
G/USDT:USDT,G,False,swap,swap,True,True
GALA/USDT:USDT,GALA,False,swap,swap,True,True
GAS/USDT:USDT,GAS,False,swap,swap,True,True
GENIUS/USDT:USDT,GENIUS,False,swap,swap,True,True
GIGGLE/USDT:USDT,GIGGLE,False,swap,swap,True,True
GLM/USDT:USDT,GLM,False,swap,swap,True,True
GLW/USDT:USDT,GLW,False,swap,swap,True,True
GME/USDT:USDT,GME,False,swap,swap,True,True
GMT/USDT:USDT,GMT,False,swap,swap,True,True
GMX/USDT:USDT,GMX,False,swap,swap,True,True
GOAT/USDT:USDT,GOAT,False,swap,swap,True,True
GOOGL/USDT:USDT,GOOGL,False,swap,swap,True,True
GPS/USDT:USDT,GPS,False,swap,swap,True,True
GRASS/USDT:USDT,GRASS,False,swap,swap,True,True
GRIFFAIN/USDT:USDT,GRIFFAIN,False,swap,swap,True,True
GRT/USDT:USDT,GRT,False,swap,swap,True,True
GUN/USDT:USDT,GUN,False,swap,swap,True,True
GWEI/USDT:USDT,GWEI,False,swap,swap,True,True
H/USDT:USDT,H,False,swap,swap,True,True
HAEDAL/USDT:USDT,HAEDAL,False,swap,swap,True,True
HBAR/USDT:USDT,HBAR,False,swap,swap,True,True
HFT/USDT:USDT,HFT,False,swap,swap,True,True
HIVE/USDT:USDT,HIVE,False,swap,swap,True,True
HOLO/USDT:USDT,HOLO,False,swap,swap,True,True
HOME/USDT:USDT,HOME,False,swap,swap,True,True
HOOD/USDT:USDT,HOOD,False,swap,swap,True,True
HOT/USDT:USDT,HOT,False,swap,swap,True,True
HPE/USDT:USDT,HPE,False,swap,swap,True,True
HUMA/USDT:USDT,HUMA,False,swap,swap,True,True
HYPE/USDT:USDT,HYPE,False,swap,swap,True,True
HYPER/USDT:USDT,HYPER,False,swap,swap,True,True
HYUNDAI/USDT:USDT,HYUNDAI,False,swap,swap,True,True
IBM/USDT:USDT,IBM,False,swap,swap,True,True
ICNT/USDT:USDT,ICNT,False,swap,swap,True,True
ICP/USDT:USDT,ICP,False,swap,swap,True,True
ICX/USDT:USDT,ICX,False,swap,swap,True,True
ID/USDT:USDT,ID,False,swap,swap,True,True
IDOL/USDT:USDT,IDOL,False,swap,swap,True,True
ILV/USDT:USDT,ILV,False,swap,swap,True,True
IMX/USDT:USDT,IMX,False,swap,swap,True,True
IN/USDT:USDT,IN,False,swap,swap,True,True
INIT/USDT:USDT,INIT,False,swap,swap,True,True
